29.10.2024,
,
разминка 700 м 100 вольный 100 комплекс,
,700
ноги 300 комплекс доска,
,300
горка 50 100 150 200 150 100 50 лопатки  колопашка режим 30',
,800
ласты скольжение 6*50,
,300
закуп 200,
,200
,
,
,
,
итог,2300
время,65
,
,
5.11.2024,
,
200 вс 200 компл 100 упр любое,
,500
"3х200 лопатки колопашки  S, M, L отдых 1 мин",
,600
100 спина,
,800
6*50 вход в поворот мощно,
,300
закуп 200 ,
,200
2*150 ласты  скольжение на боку чередование,
,300
Закуп 200 м ,
,
25 время 13.4,
,
итог,2700
время,75
,
,
12.11.2024,
,
Горка 25 - 50-75-100-75-50-25 вс черкз 25 н/с,
,750
"3х200 лопатки колопашки  L, M без лопаток",
,600
100 спина закуп,
,100
"4*100, первая - первые 25 мощно, вторая- вторые 25 и тд ",
,400
100 м брасс,
,100
"6*50 майка режим 1'10""",
,300
200 м ноги упр,
,200
Закуп 100,
,100
итог,2550
время,75
,
19.11.2024,
,
400 вс 3*100 компл 2*150 вс то мп 70% режим 3 мин,
,1000
"400 вс колоп, 3*100 компл ноги, 2* 75 вс темп 80% режим 3 мин",
,850
200 закуп,
,200
"25 вс старт  10"" отд 25 с воды  время 13.13; 14.5",
,50
Закуп 100 м,
,100
,
,
,
,
,
,
итог,2200
время,60
,
,
26.11.2024,
,
"Горка 25, 50, 75, 100 75 50 25  вс через 25 спину",
,550
6*50 пк вс  старт с 12.5 2 поворота б/р,
,300
200   ноги,
,200
"6*75 колоп  R 30""",
,450
Закуп 200 м,
,200
"4*100 ласты r 15 """,
,400
350 закуп старты 12.85,
,350
,
,
итог,2450
время,60
,
,
10.12.2024,
,
"3*(25 бат+50 спина+ 75 брасс+100 вс) пк, ноги, руки",
,750
"400 пк вс лопатки, 200 ведро вс 100",
,700
"8*50 пк 1'10""  4я и 8я ускорения",
,400
"3*100 упр 8 ки антилопатки, круг",
,300
"10;12,5;15 ускорения с воды",
,75
Закуп 200 м,
,200
,
,
,
,
итог,2425
время,60
,
17.12.2024,
,
Горка 25-50-75-100-75-50-25 вс через 25 спину,
,550
"11*100 короткие ласты техника отдых 30""",
,1100
"3*100 ноги компл, осн, дополнительный",
,300
200 спина,
,200
"8*50 лопатки пульс 140, отдых 20""",
,400
Брасс ,
,200
Откуп комплекс,
,200
,
,
итог,2950
время,79
,
,
24.12.2024,
,
Горка 25-50-75-100-75-50-25 вс через 25 спина,
,550
3*200 руки 3*100 компл 3*50 вс,
,1050
44*25 ласты большие вс ,
,1100
300 ноги + 100 закуп,
,400
,
,
,
,
,
,
,
,
итог,3100
время,74
,
14.1.2025,
,
4*225 в порядке комплекса 100 пк+75 руки+ 50 ноги,
,900
"8*50 ноги ласты короткие 50компл по 12,5+ 50 вс потом 100 откуп",
,500
"9*50 колоп по 25: бат+спина, спина +брасс, брасс +кроль",
,450
100 закуп,
,400
Горка 25-50-75-100-75-50-25 вс через 25 спина,
,550
4*400 лопатки,
,400
100 закуп,
,100
