28.10.2024,,,,,,,
79.6,1,2,3,4,5,6,
Верхний блок,33,33,33,33,,,
,12,12,12,12,,1584,
Тяга к подбородку,12.5,12.5,12.5,12.5,,,
,12,12,12,12,,600,
Фронтальная Тяга,30,30,30,30,,,
,12,12,12,12,,1440,
Гантели развод,4,4,4,4,,,
,12,12,12,12,,192,
Нижний блок,28.5,28.5,28.5,28.5,,,
,12,12,12,12,,1368,
Обр бабочка,19,19,19,19,,,
,12,12,12,12,,912,
Разгибания из-за головы Триц,10,10,10,10,,,
,12,12,12,12,,480,
штанга биц,10,10,10,10,,,
,12,12,12,12,,480,
блок триц,15,15,15,15,,,
,12,12,12,12,,720,
тренажер биц,22.5,22.5,22.5,22.5,,,
,12,12,12,12,,1080,
,,,,,,8862,8862
,,,,,,,
,,,,,,,
4.11.2024,,,,,,,
79.1,1,2,3,4,5,6,
Верхний блок,33,33,33,33,,,
,13,13,13,13,,1716,
Тяга к подбородку,12.5,12.5,12.5,12.5,,,
,14,14,14,14,,700,
Фронтальная Тяга,30,30,30,30,,,
,13,13,13,13,,1560,
Гантели развод,4,4,4,4,,,
,14,14,14,14,,224,
Нижний блок,28.5,28.5,28.5,28.5,,,
,13,13,13,13,,1482,
Обр бабочка,19,19,19,19,,,
,14,14,14,14,,1064,
Разгибания из-за головы Триц,10,10,10,10,,,
,14,14,14,14,,560,
штанга биц,10,10,10,10,,,
,14,14,14,14,,560,
блок триц,15,15,15,15,,,
,14,14,14,14,,840,
тренажер биц,22.5,22.5,22.5,22.5,,,
,14,14,14,14,,1260,
,,,,,,9972,9972
,,,,,,,
,,,,,,,
4.11.2024,,,,,,,
77. 8,1,2,3,4,5,6,
Верхний блок,33,33,33,33,,,
,14,14,14,14,,1848,
Тяга к подбородку,12.5,12.5,12.5,12.5,,,
,16,16,16,16,,800,
Фронтальная Тяга,30,30,30,30,,,
,14,14,14,14,,1680,
Гантели развод,4,4,4,4,,,
,16,16,16,16,,256,
Нижний блок,28.5,28.5,28.5,28.5,,,
,14,14,14,14,,1596,
Обр бабочка,19,19,19,19,,,
,16,16,16,16,,1216,
Разгибания из-за головы Триц,10,10,10,10,,,
,16,16,16,16,,640,
штанга биц,12.5,12.5,12.5,12.5,,,
,16,16,16,16,,800,
блок триц,15,15,15,15,,,
,16,16,16,16,,960,
тренажер биц,22.5,22.5,22.5,22.5,,,
,16,16,16,16,,1440,
,,,,,,11242,11242
,,,,,,,
18.11.2024,,,,,,,
78.3,1,2,3,4,5,6,
Верхний блок,33,33,33,33,,,
,15,15,15,15,,1980,
Тяга к подбородку,12.5,12.5,12.5,12.5,,,
,18,18,18,18,,900,
Фронтальная Тяга,30,30,30,30,,,
,15,15,15,15,,1800,
Гантели развод,4,4,4,4,,,
,18,18,18,18,,288,
Нижний блок,28.5,28.5,28.5,28.5,,,
,15,15,15,15,,1710,
Обр бабочка,19,19,19,19,,,
,18,18,18,18,,1368,
Разгибания из-за головы Триц,10,10,10,10,,,
,18,18,18,18,,720,
штанга биц,12.5,12.5,12.5,12.5,,,
,18,18,18,18,,900,
блок триц,15,15,15,15,,,
,18,18,18,18,,1080,
тренажер биц,22.5,22.5,22.5,22.5,,,
,18,18,18,18,,1620,
,,,,,,12372,12372
,,,,,,,
,,,,,,,
25.11.2024,,,,,,,
77.4,1,2,3,4,5,6,
Верхний блок,38,38,38,38,,,
,12,12,12,12,,1824,
Тяга к подбородку,15,15,15,15,,,
,13,13,13,13,,780,
Фронтальная Тяга,35,35,35,35,,,
,12,12,12,12,,1680,
Гантели развод,5,5,5,5,,,
,13,13,13,13,,260,
Нижний блок,33,33,33,33,,,
,12,12,12,12,,1584,
Обр бабочка,26,26,26,26,,,
,13,13,13,13,,1352,
Разгибания из-за головы Триц,12.5,12.5,12.5,12.5,,,
,13,13,13,13,,650,
штанга биц,15,15,15,15,,,
,13,13,13,13,,780,
блок триц,18.5,18.5,18.5,18.5,,,
,18,18,18,18,,1332,
тренажер биц,27.5,27.5,27.5,27.5,,,
,13,13,13,13,,1430,
,,,,,,11678,
,,,,,,,
,,,,,,,
2.12.2024,,,,,,,
77.55,1,2,3,4,5,6,
Верхний блок,40,40,40,40,,,
,13,13,13,13,,2080,
Тяга к подбородку,15,15,15,15,,,
,15,15,15,15,,900,
Фронтальная Тяга,35,35,35,35,,,
,13,13,13,13,,1820,
Гантели развод,5,5,5,5,,,
,15,15,15,15,,300,
Нижний блок,33,33,33,33,,,
,13,13,13,13,,1716,
Обр бабочка,26,26,26,26,,,
,15,15,15,15,,1560,
Разгибания из-за головы Триц,12.5,12.5,12.5,12.5,,,
,15,15,15,15,,750,
штанга биц,15,15,15,15,,,
,15,15,15,15,,900,
блок триц,18.5,18.5,18.5,18.5,,,
,15,15,15,15,,1110,
тренажер биц,27.5,27.5,27.5,27.5,,,
,15,15,15,15,,1650,
,,,,,,12792,
,,,,,,,
9.12.2024,,,,,,,
76.7,1,2,3,4,5,6,
Верхний блок,40,40,40,40,,,
,14,14,14,14,,2240,
Тяга к подбородку,15,15,15,15,,,
,16,16,16,16,,960,
Фронтальная Тяга,35,35,35,35,,,
,14,14,14,14,,1960,
Гантели развод,5,5,5,5,,,
,16,16,16,16,,320,
Нижний блок,33,33,33,33,,,
,14,14,14,14,,1848,
Обр бабочка,26,26,26,26,,,
,16,16,16,16,,1664,
Разгибания из-за головы Триц,12.5,12.5,12.5,12.5,,,
,16,16,16,16,,800,
штанга биц,15,15,15,15,,,
,16,16,16,16,,960,
блок триц,18.5,18.5,18.5,18.5,,,
,16,16,16,16,,1184,
тренажер биц,27.5,27.5,27.5,27.5,,,
,16,16,16,16,,1760,
,,,,,,13702,
,,,,,,,
,,,,,,,
16.12.2024,,,,,,,
76.16,1,2,3,4,5,6,
Верхний блок,40,40,40,40,,,
