1.11.2024,,,,,,
77.75,1,2,3,4,5,6
Жим Лежа,40,40,40,40,,
,10,10,10,10,,1600
Тяга к подбородку,12.5,12.5,12.5,12.5,,
,13,13,13,13,,650
Рычажный жим,20,20,20,20,,
,10,10,10,10,,800
Гантели развод,4,4,4,4,,
,13,13,13,13,,208
Жим от груди,31,31,31,31,,
,10,10,10,10,,1240
Фронтальные подъемы вреевки перед собой,5,5,5,5,,
,12,12,12,12,,240
бабочка,33,33,33,33,,
,12,12,12,12,,1584
обратная бабочка,19,19,19,19,,
,13,13,13,13,,988
Разгибания из-за головы Триц,10,10,10,10,,
,13,13,13,13,,520
штанга биц,10,10,10,10,,
,13,13,13,13,,520
блок триц,15,15,15,15,,
,13,13,13,13,,780
тренажер биц,22.5,22.5,22.5,22.5,,
,13,13,13,13,,1170
,,,,,,10300
,,,,,,
,,,,,,
8.11.2024,,,,,,
78.6,1,2,3,4,5,6
Жим Лежа,40,40,40,40,,
,12,12,12,12,,1920
Тяга к подбородку,12.5,12.5,12.5,12.5,,
,15,15,15,15,,750
Рычажный жим,20,20,20,20,,
,12,12,12,12,,960
Гантели развод,4,4,4,4,,
,15,15,15,15,,240
Жим от груди,31,31,31,31,,
,12,12,12,12,,1488
Фронтальные подъемы вреевки перед собой,5,5,5,5,,
,13,13,13,13,,260
бабочка,33,33,33,33,,
,14,14,14,14,,1848
обратная бабочка,19,19,19,19,,
,15,15,15,15,,1140
Разгибания из-за головы Триц,10,10,10,10,,
,15,15,15,15,,600
штанга биц,10,10,10,10,,
,15,15,15,15,,600
блок триц,15,15,15,15,,
,15,15,15,15,,900
тренажер биц,22.5,22.5,22.5,22.5,,
,15,15,15,15,,1350
,,,,,,12056
,,,,,,
,,,,,,
15.11.2024,,,,,,
77.2,1,2,3,4,5,6
Жим Лежа,40,40,40,40,,
,13,13,13,13,,2080
Тяга к подбородку,12.5,12.5,12.5,12.5,,
,17,17,17,17,,850
Рычажный жим,20,20,20,20,,
,13,13,13,13,,1040
Гантели развод,4,4,4,4,,
,17,17,17,17,,272
Жим от груди,31,31,31,31,,
,13,13,13,13,,1612
Фронтальные подъемы вреевки перед собой,5,5,5,5,,
,14,14,14,14,,280
бабочка,33,33,33,33,,
,15,15,15,15,,1980
обратная бабочка,19,19,19,19,,
,17,17,17,17,,1292
Разгибания из-за головы Триц,10,10,10,10,,
,17,17,17,17,,680
штанга биц,12.5,12.5,12.5,12.5,,
,17,17,17,17,,850
блок триц,15,15,15,15,,
,17,17,17,17,,1020
тренажер биц,22.5,22.5,22.5,22.5,,
,17,17,17,17,,1530
,,,,,,13486
,,,,,,
22.11.2024,,,,,,
77.2,1,2,3,4,5,6
Жим Лежа,40,40,40,40,,
,14,14,14,14,,2240
Тяга к подбородку,15,15,15,15,,
,12,12,12,12,,720
Рычажный жим,20,20,20,20,,
,14,14,14,14,,1120
Гантели развод,5,5,5,5,,
,12,12,12,12,,240
Жим от груди,31,31,31,31,,
,14,14,14,14,,1736
Фронтальные подъемы вреевки перед собой,5,5,5,5,,
,16,16,16,16,,320
бабочка,38,38,38,38,,
,12,12,12,12,,2812
обратная бабочка,26,26,26,26,,
,12,12,12,12,,1248
Разгибания из-за головы Триц,12.5,12.5,12.5,12.5,,
,12,12,12,12,,600
штанга биц,15,15,15,15,,
,12,12,12,12,,720
блок триц,18.5,18.5,18.5,18.5,,
,12,12,12,12,,888
тренажер биц,27.5,27.5,27.5,27.5,,
,12,12,12,12,,1320
,,,,,,13964
,,,,,,
,,,,,,
29.11.2024,,,,,,
76.85,1,2,3,4,5,6
Жим Лежа,45,45,45,45,,
,10,10,10,10,,1800
Тяга к подбородку,15,15,15,15,,
,14,14,14,14,,840
Рычажный жим,25,25,25,25,,
,10,10,10,10,,1000
Гантели развод,5,5,5,5,,
,14,14,14,14,,280
Жим от груди,38,38,38,38,,
,10,10,10,10,,1520
Фронтальные подъемы вреевки перед собой,5,5,5,5,,
,18,18,18,18,,360
бабочка,38,38,38,38,,
,13,13,13,13,,2926
обратная бабочка,26,26,26,26,,
,14,14,14,14,,1456
Разгибания из-за головы Триц,12.5,12.5,12.5,12.5,,
,14,14,14,14,,700
штанга биц,15,15,15,15,,
,14,14,14,14,,840
блок триц,18.5,18.5,18.5,18.5,,
,14,14,14,14,,1036
тренажер биц,27.5,27.5,27.5,27.5,,
,14,14,14,14,,1540
,,,,,,14298
,,,,,,
4.12.2024,,,,,,
76.2,1,2,3,4,5,6
Жим Лежа,45,45,45,45,,
,12,12,12,12,,2160
Тяга к подбородку,15,15,15,15,,
,16,16,16,16,,960
Рычажный жим,25,25,25,25,,
,12,12,12,12,,1200
Гантели развод,5,5,5,5,,
,16,16,16,16,,320
Жим от груди,45,45,45,45,,
,12,12,12,12,,2160
Фронтальные подъемы вреевки перед собой,5,5,5,5,,
,20,20,20,20,,400
бабочка,38,38,38,38,,
,14,14,14,14,,3040
обратная бабочка,26,26,26,26,,
,16,16,16,16,,1664
Разгибания из-за головы Триц,12.5,12.5,12.5,12.5,,
,16,16,16,16,,800
штанга биц,15,15,15,15,,
,16,16,16,16,,960
блок триц,18.5,18.5,18.5,18.5,,
,16,16,16,16,,1184
тренажер биц,27.5,27.5,27.5,27.5,,
,16,16,16,16,,1760
,,,,,,16608
,,,,,,
,,,,,,
13.12.2024,,,,,,
75.8,1,2,3,4,5,6
Жим Лежа,45,45,45,45,,
,13,13,13,13,,2340
Тяга к подбородку,15,15,15,15,,
,18,18,18,18,,1080
Рычажный жим,30,30,30,30,,
,13,13,13,13,,1560
Гантели развод,5,5,5,5,,
,18,18,18,18,,360
Жим от груди,45,45,45,45,,
,13,13,13,13,,2340
Фронтальные подъемы вреевки перед собой,7.5,7.5,7.5,7.5,,
,13,13,13,13,,390
бабочка,45,45,45,45,,
,12,12,12,12,,3645
обратная бабочка,26,26,26,26,,
,18,18,18,18,,1872
Разгибания из-за головы Триц,12.5,12.5,12.5,12.5,,
,18,18,18,18,,900
штанга биц,15,15,15,15,,
,18,18,18,18,,1080
блок триц,18.5,18.5,18.5,18.5,,
,18,18,18,18,,1332
тренажер биц,27.5,27.5,27.5,27.5,,
,18,18,18,18,,1980
,,,,,,18879
,,,,,,
,,,,,,
20.12.2024,,,,,,
74.8,1,2,3,4,5,6
Жим Лежа,45,45,45,45,,
,14,14,14,14,,2520
Тяга к подбородку,17.5,17.5,17.5,17.5,,
,13,13,13,13,,910
Рычажный жим,30,30,30,30,,
,14,14,14,14,,1680
Гантели развод,6,6,6,6,,
,13,13,13,13,,312
Жим от груди,38,38,38,38,,
,13,13,13,13,,1976
Фронтальные подъемы вреевки перед собой,7,7,7,7,,
,12,12,12,12,,336
бабочка,45,45,45,45,,
,13,13,13,13,,3780
обратная бабочка,31,31,31,31,,
,13,13,13,13,,1612
Разгибания из-за головы Триц,15,15,15,15,,
,13,13,13,13,,780
штанга биц,17.5,17.5,17.5,17.5,,
,13,13,13,13,,910
блок триц,21,21,21,21,,
,13,13,13,13,,1092
тренажер биц,32,32,32,32,,
,13,13,13,13,,1664
,,,,,,17572
,,,,,,
,,,,,,
27.12.2024,,,,,,
74.75,1,2,3,4,5,6
Жим Лежа,45,45,45,45,,
,15,15,15,15,,2700
Тяга к подбородку,17.5,17.5,17.5,17.5,,
,15,15,15,15,,1050
Рычажный жим,30,30,30,30,,
,15,15,15,15,,1800
Гантели развод,6,6,6,6,,
,15,15,15,15,,360
Жим от груди,38,38,38,38,,
,15,15,15,15,,2280
Фронтальные подъемы вреевки перед собой,7,7,7,7,,
,13,13,13,13,,364
бабочка,45,45,45,45,,
,14,14,14,14,,3915
обратная бабочка,31,31,31,31,,
,15,15,15,15,,1860
Разгибания из-за головы Триц,15,15,15,15,,
,15,15,15,15,,900
штанга биц,17.5,17.5,17.5,17.5,,
,15,15,15,15,,1050
блок триц,23.5,23.5,23.5,23.5,,
,15,15,15,15,,1410
тренажер биц,32,32,32,32,,
,15,15,15,15,,1920
,,,,,,19609
,,,,,,
10.1.2025,,,,,,
74.15,1,2,3,4,5,6
Жим Лежа,50,50,50,50,,
,11,11,11,11,,2200
Тяга к подбородку,17.5,17.5,17.5,17.5,,
,16,16,16,16,,1120
Рычажный жим,40,40,40,40,,
,11,11,11,11,,1760
Гантели развод,6,6,6,6,,
,16,16,16,16,,384
Жим от груди,45,45,45,45,,
,11,11,11,11,,1980
Фронтальные подъемы вреевки перед собой,7.55,7.55,7.55,7.55,,
,16,16,16,16,,483.2
бабочка,45,45,45,45,,
,15,15,15,15,,4050
обратная бабочка,31,31,31,31,,
,16,16,16,16,,1984
Разгибания из-за головы Триц,15,15,15,15,,
,16,16,16,16,,960
штанга биц,17.5,17.5,17.5,17.5,,
,16,16,16,16,,1120
блок триц,23.5,23.5,23.5,23.5,,
,16,16,16,16,,1504
тренажер биц,32,32,32,32,,
,16,16,16,16,,2048
,,,,,,19593.2
,,,,,,
17.1.2025,,,,,,
73.65,1,2,3,4,5,6
Жим Лежа,50,50,50,50,,
,13,13,13,13,,2600
Тяга к подбородку,17.5,17.5,17.5,17.5,,
,18,18,18,18,,1260
Рычажный жим,40,40,40,40,,
,12,12,12,12,,1920
Гантели развод,6,6,6,6,,
,18,18,18,18,,432
Жим от груди,45,45,45,45,,
,13,13,13,13,,2340
Фронтальные подъемы вреевки перед собой,7,7,7,7,,
,18,18,18,18,,504
бабочка,45,45,45,45,,
,17,17,17,17,,4320
обратная бабочка,31,31,31,31,,
,18,18,18,18,,2232
Разгибания из-за головы Триц,15,15,15,15,,
,18,18,18,18,,1080
штанга биц,17.5,17.5,17.5,17.5,,
,18,18,18,18,,1260
