2.11.2024,
,
разминка 500 м 200 вольный 150 брасс 100 спина 50 батт,
,700
600  100 вольный 100 спина ласты,
,600
400 лопатки колопашка,
,400
8*50 комплекс,
,400
300  50 кроль 50 спина ,
,300
"10*25  25 мин кол-во гребков, 25 крейсерская скорость с которой можно хоть 12 часов",
,250
закуп,
,50
итог,2700
время,76
,
,
9.11.2024,
,
200 вс 200 ноги упр 100 вс 100 ноги упр 50 вс 50 ноги упр,
,600
25 время 13.0 20 гребков,
,50
"4*50 лопатки  s  t=1' 10""",
,200
6*100 ласты большие кроль спина 100/100,
,600
4*50 лопатки  L  t = 1',
,200
6*100   брас  ноги 100/100,
,600
"4*50 вс  t=55""",
,200
Закуп 100,
,100
,
,
итог,2550
время,64
,
16.11.2024,
,
200 вс 200 ноги упр 200 брасс 200 руки колопашка,
,800
10*75 единый режим ,
,750
100  спина,
,200
"6*50 единый темп режим 1'10""",
,300
спина 100 ,
,100
"4*50  15 метров усоркение, дальше свободно ",
,200
"25 время  12.91""",
,200
Закуп 300,
,300
,
,
итог,2850
время,64
,
14.12.2024,
,
200 ноги 200 брасс 200 руки 200 спина,
,800
"6*100 1,3,5 техника, 2,4,6 гребки 3+4",
,600
300 руки,
,300
100ноги 100 батт 100 руки 100 вс,
,400
6*50 ласты короткие 1'10 техника,
,300
200 закуп,
,200
,
,
,
,
,
,
итог,2600
время,68
,
21.12.2024,
,
200 вс 200 спина 100 вс 100брасс 50 вс 50 батт,
,700
200 ноги 400 руки вс 800 пк вс,
,1400
"2*(50 ласты дельфин на боках, + 100 спина+ 50 ласты на боку кроль 100 вс) ",
,600
 100 спина левая рука; правая рука 100 батт левая рука правая рука,
,200
,
,
,
,
,
,
,
,
,
,
итог,2900
время,64
,
,
28.12.2024,
,
300 вс,
,300
300 ноги ,
,300
300,
,300
300,
,300
300,
,300
300,
,300
300,
,300
300,
,300
,
,
итог,2400
время,
,
18.1.2025,
,
3*200 вс+компл+ноги,
,600
15*50 режим  ps 26 + 200 спина,
,950
6*75 ласты короткие вс  +100 брасс,
,550
4*100 +100,
,500
,
,
,
,
,
,
,
,
,
,
итог,2600
время,67
,
25.1.2025,
,
200 вс,
,200
400 + 200 вс лопатки s,
,600
"4*50 режим 1'10""",
,200
"300+150  лопатки L, колоп",
,450
4*50 режим1',
,200
200+100 вс ласты,
,300
"4*50 режим 50""",
,200
1000 м ласты трубка,
,1000
,
,
итог,3150
время,72
,
,
,
,
8.2.2025,
,
500 компл ласты,
,500
5*100 S R2',
,500
"5*100 L R1""45",
,500
5*100 ноги доска 25бат 75 вс 25 бр 75 вс,
,500
"5*100 пк вс 1'50""",
,500
500 упр закуп,
,500
,
,
,
,
,
,
итог,3000
время,
15.3.2025,
,
,
2*200 вс пк ноги руки,
,600
12*100 вс R2',
,1200
3*100 брасс бат брас с трубкой,
,300
3*300 вс колоп,
,900
250 заминка,
,250
,
,
,
,
,
,
,
,
итог,3250
время,84
,
30.11.2025,
,
разминка 500 м 200 вольный 150 брасс 100 спина 50 батт,
,500
600  100 вольный 100 спина ласты,
,600
400 лопатки колопашка,
,400
8*50 комплекс,
,400
300  50 кроль 50 спина ,
,300
"10*25  25 мин кол-во гребков, 25 крейсерская скорость с которой можно хоть 12 часов",
,250
закуп,
,50
итог,2500
время,
,
24.1.2024,
,
разминка 500 м 200 вольный 150 брасс 100 спина 50 батт,
,700
600  100 вольный 100 спина ласты,
,600
400 лопатки колопашка,
,400
8*50 комплекс,
,400
300  50 кроль 50 спина ,
,300
"10*25  25 мин кол-во гребков, 25 крейсерская скорость с которой можно хоть 12 часов",
,250
закуп,
,50
итог,2700
время,76
,
,
31.1.2026,
,
200 вс 200 ноги упр 200 брасс 200 руки колопашка,
,800
10*75 единый режим ,
,750
100  спина,
,200
"6*50 единый темп режим 1'10""",
,300
спина 100 ,
,100
"4*50  15 метров усоркение, дальше свободно ",
,200
"25 время  12.91""",
,200
Закуп 300,
,300
,
,
итог,2850
время,64
,
14.2.2024,
78,
200 ноги 200 брасс 200 руки 200 спина,
,800
"6*100 1,3,5 техника, 2,4,6 гребки 3+4",
,600
300 руки,
,300
100ноги 100 батт 100 руки 100 вс,
,400
6*50 ласты короткие 1'10 техника,
,300
200 закуп,
,200
,
,
,
,
,
,
итог,2600
время,68
,
,
21.2.2026,
,
200 вс 200 спина 100 вс 100брасс 50 вс 50 батт,
,700
200 ноги 400 руки вс 800 пк вс,
,1400
"2*(50 ласты дельфин на боках, + 100 спина+ 50 ласты на боку кроль 100 вс) ",
,600
 100 спина левая рука; правая рука 100 батт левая рука правая рука,
,200
,
,
,
,
,
,
,
,
,
,
итог,2900
время,64
,
7.3.2026,
,
200 вс 200 ноги упр 100 вс 100 ноги упр 50 вс 50 ноги упр,
,600
25 время 13.0 20 гребков,
,50
"4*50 лопатки  s  t=1' 10""",
,200
6*100 ласты большие кроль спина 100/100,
,600
4*50 лопатки  L  t = 1',
,200
6*100   пк/бр 100/100,
,600
"4*50 вс  t=55""",
,200
Закуп 100,
,100
,
,
итог,2550
время,64
,
18.4.2025,
,
,
2*200 вс пк ноги руки,
,600
12*100 вс R2',
,1200
3*100 брасс бат брас с трубкой,
,300
"3*300 вс колоп S, L, пк",
,900
250 заминка,
,250
,
,
,
,
,
,
,
,
итог,3250
время,84
,
15.3.2025,
,
,
3*200 вс пк ноги руки,
,600
6*100 вс R2',
,600
3*100 брасс бат брас с трубкой,
,300
5*300 вс колоп,
,1500
250 заминка,
,250
,
,
,
,
,
,
,
,
итог,3250
время,84
